id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;veiculos
83298477;2015-01-01;Quinta;17:35:00;SP;116;149.4;SAO JOSE DOS CAMPOS;Dormindo;Capotamento;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Urbano;2;1
83298479;2015-01-01;Quinta;15:15:00;SP;116;137.0;SAO JOSE DOS CAMPOS;Outras;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;3;2
83298485;2015-01-01;Quinta;15:30:00;SP;116;138.4;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;2;2
83298488;2015-01-01;Quinta;15:00:00;SP;116;138.6;SAO JOSE DOS CAMPOS;Falta de atenção;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;1;1
83298628;2015-01-02;Sexta;08:35:00;SP;116;104.0;TAUBATE;Defeito mecânico em veículo;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Amanhecer;Decrescente;Ceu Claro;Simples;Reta;Rural;2;1
83298700;2015-01-02;Sexta;09:30:00;SP;116;137.9;SAO JOSE DOS CAMPOS;Ultrapassagem indevida;Colisão com objeto fixo;Sem Vítimas;Pleno dia;Crescente;Sol;Dupla;Reta;Rural;2;2
83298729;2015-01-02;Sexta;09:50:00;SP;116;229.0;SAO PAULO;Outras;Queda de motocicleta / bicicleta / veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Ceu Claro;Múltipla;Reta;Urbano;2;2
83298793;2015-01-02;Sexta;16:40:00;SP;116;212.5;GUARULHOS;Outras;Colisão com objeto fixo;Com Vítimas Feridas;Pleno dia;Crescente;Ceu Claro;Múltipla;Reta;Urbano;1;1
83298812;2015-01-02;Sexta;16:00:00;SP;116;106.0;TAUBATE;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ceu Claro;Simples;Reta;Rural;3;3
83298834;2015-01-02;Sexta;19:00:00;SP;116;149.5;SAO JOSE DOS CAMPOS;Outras;Colisão lateral;Com Vítimas Feridas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;2;2
83298859;2015-01-02;Sexta;19:10:00;SP;116;153.0;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;4;4
83298864;2015-01-02;Sexta;19:00:00;SP;116;218.0;GUARULHOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Anoitecer;Decrescente;Chuva;Múltipla;Reta;Urbano;3;3
83298891;2015-01-02;Sexta;19:05:00;SP;116;155.0;SAO JOSE DOS CAMPOS;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Chuva;Múltipla;Reta;Urbano;3;3
83299147;2015-01-02;Sexta;20:00:00;SP;116;155.0;SAO JOSE DOS CAMPOS;Outras;Colisão com objeto fixo;Sem Vítimas;Anoitecer;Decrescente;Chuva;Múltipla;Reta;Urbano;1;1
