datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-09-03,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795,19802.795
2023-09-04,19402.44,19403.178,19400.463,19401.398,19401.857,19401.252,19404.89,19402.19,19403.982,19400.514,19401.887,19404.277,19401.05,19401.191,19405.51,19401.734,19405.113,19401.734,19407.686,19403.164,19401.73,19401.553,19401.258,19401.766,19402.06,19408.31,19401.885,19401.027,19400.89,19401.543,19407.453,19401.36,19403.64,19401.332,19404.879,19401.219,19401.727,19401.217,19400.564,19401.0,19401.11,19402.234,19403.67,19402.154,19401.56,19400.645,19401.96,19400.555,19400.955,19402.2,19401.51
2023-09-05,19031.492,19028.383,19021.46,19024.533,19025.236,19039.447,19026.762,19023.092,19026.635,19022.938,19040.875,19045.895,19027.229,19025.29,19028.785,19024.305,19028.639,19022.959,19035.793,19033.059,19025.531,19037.541,19026.002,19024.533,19028.326,19044.512,19024.162,19020.984,19030.559,19027.316,19028.736,19027.32,19043.404,19031.797,19028.559,19026.143,19026.07,19024.227,19022.78,19020.477,19025.44,19031.795,19033.78,19029.541,19029.625,19021.832,19022.81,19019.9,19027.09,19025.523,19027.729
2023-09-06,18701.395,18692.637,18674.541,18681.041,18681.945,18712.98,18676.115,18676.02,18681.27,18680.826,18716.953,18750.758,18686.764,18687.305,18693.67,18679.902,18690.014,18683.264,18703.406,18712.875,18688.523,18708.592,18695.277,18691.637,18696.074,18734.883,18678.422,18677.35,18697.943,18688.535,18685.873,18688.99,18726.115,18720.145,18687.068,18683.31,18685.004,18678.648,18682.096,18671.143,18690.191,18711.11,18701.232,18701.41,18699.111,18681.32,18678.744,18673.514,18696.201,18684.162,18687.07
2023-09-07,18392.809,18394.635,18349.979,18358.012,18365.896,18453.01,18343.645,18348.46,18353.686,18367.244,18425.709,18495.014,18369.271,18382.158,18397.709,18356.273,18378.008,18369.6,18399.857,18425.572,18377.773,18426.926,18405.521,18396.363,18389.07,18460.34,18362.158,18371.062,18389.68,18375.191,18365.688,18372.898,18439.43,18434.143,18368.76,18367.678,18369.09,18355.166,18382.238,18339.383,18392.586,18424.135,18405.227,18400.078,18399.49,18377.709,18361.625,18354.213,18407.832,18363.861,18369.424
2023-09-08,18109.89,18128.398,18049.611,18051.984,18072.342,18234.803,18032.213,18037.516,18042.03,18091.664,18162.545,18265.605,18069.78,18107.092,18143.559,18056.637,18088.867,18081.49,18115.777,18167.3,18096.803,18208.367,18153.352,18120.75,18102.457,18202.13,18080.678,18108.715,18106.166,18093.713,18059.143,18074.23,18184.383,18149.664,18076.729,18082.918,18077.857,18071.3,18133.31,18021.818,18114.871,18168.656,18142.184,18125.824,18122.75,18112.557,18064.947,18065.89,18155.666,18069.482,18075.408
2023-09-09,17858.969,17904.47,17780.783,17776.324,17806.756,18068.855,17758.072,17759.846,17755.398,17866.049,17929.406,18054.158,17796.06,17874.18,17929.336,17797.266,17832.055,17841.938,17858.66,17944.55,17862.871,18051.633,17946.447,17871.742,17839.844,17972.754,17840.543,17893.29,17858.516,17858.799,17779.078,17793.049,17968.115,17890.191,17823.434,17840.14,17828.762,17836.625,17934.67,17734.436,17859.525,17952.66,17915.406,17893.207,17889.941,17889.797,17798.84,17804.553,17948.209,17807.287,17829.877
2023-09-10,17643.457,17757.037,17539.473,17533.426,17566.047,17979.236,17542.402,17525.594,17499.586,17690.57,17721.758,17860.873,17571.97,17705.92,17749.12,17576.451,17629.848,17665.166,17636.674,17764.941,17688.387,17932.166,17790.066,17650.826,17601.057,17779.162,17650.748,17710.148,17651.139,17667.014,17527.748,17542.207,17788.43,17661.354,17620.541,17651.166,17623.822,17647.93,17769.145,17485.848,17650.1,17753.854,17729.932,17720.08,17697.25,17709.174,17564.416,17568.988,17792.146,17593.658,17619.133
2023-09-11,17450.998,17667.506,17308.26,17313.281,17332.545,18022.295,17427.236,17357.992,17274.678,17562.84,17549.514,17725.195,17406.283,17625.074,17595.719,17393.63,17507.814,17579.547,17443.754,17641.324,17561.465,17832.023,17692.453,17445.994,17387.145,17643.914,17562.615,17535.47,17463.514,17497.969,17306.887,17303.387,17621.543,17464.43,17484.547,17575.479,17450.71,17521.916,17663.127,17272.73,17514.436,17574.701,17600.773,17557.242,17517.84,17553.518,17364.062,17356.691,17674.236,17417.857,17449.666
2023-09-12,17292.053,17636.816,17094.2,17126.107,17109.863,18436.201,17494.893,17324.705,17095.979,17486.826,17409.56,17741.002,17267.27,17678.924,17505.295,17283.29,17520.424,17656.2,17311.504,17582.121,17503.412,17783.826,17655.975,17246.291,17211.691,17641.145,17620.21,17357.81,17319.918,17331.043,17133.967,17074.93,17463.553,17317.291,17436.14,17767.178,17349.193,17468.465,17669.861,17094.906,17409.281,17383.975,17542.459,17447.822,17373.574,17448.314,17221.617,17170.557,17572.682,17301.072,17329.725
2023-09-13,17195.89,17685.186,16926.506,16989.777,16928.855,19322.307,17800.875,17455.01,16999.312,17452.826,17324.383,17933.514,17163.809,17901.602,17543.79,17298.412,17681.57,17910.064,17252.176,17602.035,17569.654,17949.418,17697.371,17066.867,17100.797,17802.406,17879.746,17193.268,17237.486,17173.27,17054.727,16892.113,17346.996,17254.846,17493.73,18223.658,17359.795,17515.43,17827.305,16972.451,17351.69,17226.018,17591.504,17454.193,17331.922,17415.63,17179.383,16995.947,17523.643,17278.18,17312.977
2023-09-14,17175.361,17797.299,16817.963,16909.963,16805.129,20147.361,18173.541,17625.057,16986.506,17460.113,17321.844,18142.037,17109.646,18223.732,17704.979,17434.574,17912.625,18225.676,17277.74,17691.223,17758.633,18435.928,17825.557,16938.299,17060.004,18035.691,18243.549,17068.703,17223.459,17054.346,17097.256,16802.55,17279.92,17345.102,17604.973,18637.604,17410.18,17660.031,18105.158,16918.32,17347.62,17131.96,17789.625,17591.51,17403.408,17459.287,17246.334,16840.63,17602.432,17346.424,17414.93
