DataHora,Qobs,Qobsmax,Qobsmin,Qobsq75,Qobsq25
2023-08-14,23250.27,23296.1,23158.61,23296.1,23227.355
2023-08-15,22798.879999999997,22918.55,22679.21,22858.715,22739.045
2023-08-16,22270.690000000002,22406.55,22134.83,22338.62,22202.760000000002
2023-08-17,21577.440000000002,21661.59,21493.29,21619.515,21535.365
2023-08-18,21191.31,21258.29,21124.33,21224.800000000003,21157.82
2023-08-19,20940.555,20990.62,20890.49,20965.5875,20915.5225
2023-08-20,20773.85,20790.5,20757.2,20782.175,20765.525
2023-08-21,20574.335,20624.15,20524.52,20599.2425,20549.4275
2023-08-22,20840.495000000003,20890.49,20790.5,20865.4925,20815.4975
2023-08-23,20824.085,21024.02,20624.15,20924.0525,20724.1175
2023-08-24,20857.14,20857.14,20857.14,20857.14,20857.14
2023-08-25,20541.27,20690.64,20391.9,20615.955,20466.585
2023-08-26,20226.495000000003,20292.59,20160.4,20259.5425,20193.447500000002
2023-08-27,20045.09,20193.43,19896.75,20119.260000000002,19970.92
2023-08-28,19388.91,19535.85,19241.97,19462.379999999997,19315.440000000002
2023-08-29,18626.02,18819.72,18432.32,18722.870000000003,18529.17
2023-08-30,17967.34,18047.23,17887.45,18007.285,17927.395
2023-08-31,17744.019999999997,17791.78,17696.26,17767.899999999998,17720.14
2023-09-01,17569.13,17600.88,17537.38,17585.005,17553.255
2023-09-02,17347.295,17410.57,17284.02,17378.9325,17315.6575
2023-09-03,17205.16,17315.63,17094.69,17260.395,17149.925
2023-09-04,16843.205,16905.95,16780.46,16874.5775,16811.8325
2023-09-05,16577.120000000003,16623.97,16530.27,16600.545000000002,16553.695
2023-09-06,16421.155,16436.73,16405.58,16428.9425,16413.3675
2023-09-07,16250.175,16343.34,16157.01,16296.7575,16203.5925
2023-09-08,16002.2,16033.12,15971.28,16017.66,15986.740000000002
2023-09-09,15832.445,15909.51,15755.38,15870.9775,15793.912499999999
2023-09-10,15617.05,15663.11,15570.99,15640.08,15594.02
2023-09-11,15509.66,15509.66,15509.66,15509.66,15509.66
2023-09-12,,,,,
2023-09-13,,,,,
